#{"t_start": 1522281073.831613, "env_id": "Walker2d-v1"}
r,l,t
9.836134,33,0.647524
-10.496516,13,0.738162
4.133106,25,0.914135
-0.242967,39,1.247404
-3.67532,46,1.592729
7.555361,33,1.812039
271.523792,152,3.205082
81.011843,103,3.987476
95.28312,174,5.65301
20.364205,60,6.085329
-2.323282,22,6.233606
95.954988,164,7.53408
238.208648,157,8.858454
206.328997,148,9.977191
32.515178,60,10.415147
361.882268,353,13.051355
8.826458,23,13.205977
299.398008,285,15.21288
194.781566,160,16.436716
16.603469,33,16.671224
588.000079,447,19.998689
96.073131,139,21.03833
119.101907,159,22.188193
347.062457,259,24.220839
281.874437,189,25.63386
98.002736,147,26.834656
92.460145,132,27.949864
87.790638,134,28.96498
400.568396,260,30.983985
471.007422,308,33.4892
418.389687,265,35.668103
455.678344,270,37.848705
446.364933,283,40.17857
406.786461,215,41.898987
372.439081,234,44.056647
50.519021,105,44.889822
175.625514,220,46.740921
389.324024,240,48.847089
32.057008,57,49.320013
167.136708,213,51.004457
79.964006,124,51.991532
487.513687,342,54.8372
814.595072,676,60.462084
767.803076,594,65.783014
591.656167,449,69.595726
541.360091,355,72.547082
477.55045,328,75.502385
604.855201,437,79.856606
506.869124,355,83.360176
170.369134,208,85.133497
736.541381,544,89.90159
392.688601,249,92.386503
433.662702,280,94.809863
509.377387,343,98.008822
646.74936,467,102.210856
621.143812,447,106.282958
468.043525,309,109.030003
543.272761,353,112.454116
486.884546,310,115.410171
653.078705,475,119.7228
425.903533,258,122.219453
457.555872,291,125.112739
471.372142,289,127.844285
446.721723,265,130.419568
492.031322,322,133.438025
462.119418,299,136.454877
371.882506,211,138.424404
432.317992,252,140.99057
462.774165,288,143.698585
431.624615,261,146.305363
441.199557,258,148.830885
395.366416,222,151.169138
390.524094,218,153.248394
449.150207,277,156.119663
446.820535,258,158.609173
387.959426,223,160.939445
391.356831,212,163.000527
470.24125,283,165.946724
471.972601,289,168.738341
440.196867,259,171.519506
444.827174,257,174.235049
395.948163,213,176.52186
427.688673,248,178.995379
396.873957,219,181.342482
388.541182,215,183.633523
428.725374,221,186.032519
388.762333,208,188.241535
467.950573,270,191.153488
484.599934,259,193.846732
457.818096,230,196.363568
488.608594,254,199.061846
486.265443,232,201.678382
512.213976,282,204.636855
496.084964,263,208.101502
487.004436,245,211.313877
466.688607,243,214.796366
534.837688,287,218.122416
506.716335,232,220.737573
592.413921,285,223.742243
585.962637,258,226.690736
523.709268,247,229.321363
504.0173,244,232.148323
619.780126,268,235.015812
491.430012,242,237.828495
517.439892,249,240.476238
610.515728,264,243.528182
495.708979,252,246.252068
541.36657,285,249.635008
466.138117,244,252.270564
484.617194,218,254.847013
549.981824,274,257.853897
492.654931,221,260.444873
543.696267,249,263.228951
435.720319,204,265.661726
601.146059,272,268.745963
541.571001,256,271.800672
529.508754,243,274.58646
594.6307,261,277.749824
536.82384,223,280.298007
456.247356,221,283.06043
580.461607,286,286.400314
546.089674,252,289.460814
618.406315,303,293.138913
529.108369,248,296.206482
556.293215,235,298.948922
505.225991,226,301.78246
541.964341,245,304.6885
546.990218,262,307.984886
515.677943,260,311.077708
524.303201,273,314.482432
505.715955,241,317.361926
489.510861,233,320.294328
537.149588,269,323.469187
478.960956,206,326.183784
503.883326,222,328.790052
538.933499,240,331.773725
507.945274,214,334.272721
523.998077,240,337.38117
536.620078,261,340.506539
600.227229,277,344.029789
567.529621,258,347.179704
582.450194,251,350.349633
619.791765,287,353.828009
630.993568,299,357.653349
569.059645,283,361.128568
547.71061,271,364.573048
519.470451,251,367.726962
546.763086,248,370.994752
520.320533,224,373.76899
495.03741,217,377.247944
548.984854,262,380.790291
522.652094,260,384.191227
529.356895,255,387.388017
506.877714,220,390.377149
510.921426,220,393.153175
515.149216,259,396.776912
549.54007,240,399.840415
558.39208,271,403.529367
515.575945,238,406.653976
532.096693,256,410.241935
