#{"env_id": "Walker2d-v1", "t_start": 1522284516.155309}
r,l,t
-1.642335,16,0.833092
-1.774364,18,0.958736
2.846066,15,1.070236
1.902991,18,1.190617
-4.471538,68,1.628696
262.39937,168,3.130697
252.916699,136,4.516688
12.060098,36,4.818577
-1.067256,15,4.941568
-2.885313,13,5.030734
-3.306299,11,5.433504
5.36233,27,5.670135
25.542405,43,5.987298
80.035147,124,6.912347
77.524417,99,7.655504
226.558565,162,8.807142
315.401577,221,10.612053
127.034789,181,11.972174
81.099132,120,12.930774
302.77373,246,14.962021
22.290269,39,15.253552
84.651583,95,15.944947
-0.995499,12,16.029873
503.567328,405,19.071794
37.328228,91,19.729324
56.126825,111,20.535549
1064.330167,1000,31.504325
41.078613,82,32.263606
66.208142,109,33.140917
70.256795,102,33.928251
95.343514,150,35.121622
48.898455,90,35.955629
62.408575,112,36.916836
430.191386,262,38.963008
720.362321,597,43.913144
90.057308,133,45.418253
630.434423,518,49.559678
192.437297,230,51.354715
118.525448,111,52.335754
605.00957,452,56.167725
130.270411,120,57.211233
1003.069164,850,64.190927
587.20338,425,67.800852
667.425095,513,72.130823
606.575908,440,76.358464
548.660426,388,79.816151
743.223972,587,84.82619
601.93387,456,88.748526
562.154012,404,92.597115
492.510069,337,95.497295
198.146283,243,97.684873
623.736402,449,101.696079
585.50645,412,105.464268
555.399049,403,109.048581
106.879014,144,110.435395
558.460134,393,113.978067
568.701632,402,117.752808
571.875791,400,121.622609
149.235878,192,123.467321
600.707685,426,127.615431
534.648195,359,131.157986
559.183361,383,134.930269
578.398927,399,138.876183
587.393034,410,142.840361
134.525292,179,144.883846
214.898459,249,147.343462
612.407908,437,151.677596
581.266153,411,155.829481
562.443261,388,159.79698
617.9295,442,164.386554
593.930601,416,168.626174
673.003146,501,173.806971
89.003716,122,175.111233
81.997588,114,176.248884
103.768563,138,177.654167
552.820024,378,181.6577
107.145149,147,183.167241
146.452945,185,185.176916
79.693204,111,186.308309
160.460676,202,188.337435
165.880014,203,190.558331
167.916297,204,192.624036
667.414598,494,197.845093
168.902598,206,199.966262
210.464166,252,202.728663
128.710406,164,204.467635
652.550957,478,209.598455
124.751946,161,211.366018
741.116657,569,217.620561
112.108728,150,219.185282
175.386289,213,221.426256
196.41889,235,224.050145
704.957004,532,229.837541
706.883805,533,235.662116
177.466428,212,237.945166
100.344432,135,239.593188
743.841625,572,246.043269
152.013315,188,248.119405
265.887847,305,251.697315
99.865227,136,253.180544
946.006889,774,262.120476
776.580912,604,269.111998
836.409144,663,277.156448
123.550301,159,279.184787
133.817033,170,281.220779
178.870908,217,283.746204
855.132821,682,291.819726
167.984625,206,294.160423
982.247394,809,303.622705
822.836822,650,311.229135
834.305475,662,319.091994
197.476665,235,321.954287
127.784008,162,323.808189
801.109593,628,331.259798
937.911218,767,340.495535
798.881229,627,348.478839
836.87417,664,356.805632
899.75102,727,365.829553
939.057937,767,375.576029
107.417215,138,377.28579
181.421423,218,380.056581
134.74588,169,382.304005
126.088628,162,384.312901
99.273978,134,386.001041
837.175977,665,394.41823
184.986691,220,397.312941
758.235681,585,404.805304
810.975883,639,413.060251
785.223869,613,421.211551
844.001129,672,429.92607
911.858978,740,439.64459
900.970498,728,449.321623
160.357998,195,451.816063
120.434394,153,454.186183
959.594659,789,464.51516
110.03941,143,466.420475
834.594147,663,475.244522
161.810877,196,477.834448
755.743568,583,485.583419
127.280186,161,487.830772
748.939436,575,495.572206
160.498696,194,498.101758
808.035107,636,506.645893
246.564833,280,510.461071
744.163245,571,518.168914
847.545376,675,527.491706
919.577584,748,537.871694
104.938251,136,539.667849
826.833746,654,548.968543
846.597428,674,558.307314
149.099526,181,560.88818
140.087064,173,563.532682
138.50995,171,565.934532
790.835519,619,574.827365
783.809593,611,583.55036
145.061825,178,586.22842
838.786832,666,595.853979
808.898349,635,605.112179
815.703593,642,614.544485
798.902348,627,623.623694
808.3069,636,633.290889
144.697747,177,636.078038
109.937854,141,638.108088
766.787309,594,647.27423
784.232453,611,656.444419
808.316916,635,666.124579
801.937401,630,675.857154
764.989526,592,684.926642
742.247263,569,693.640832
401.077333,357,699.145545
785.853276,614,708.684062
799.816649,626,718.368298
789.873252,617,728.049797
757.549542,585,737.166614
